"year","month","total_count","is_active"
2025,"January","6668",False
2025,"February","6961",False
2024,"September","11819",False
2024,"October","12922",False
2024,"November","10629",False
2024,"May","13207",False
2024,"March","10534",False
2024,"June","14199",False
2024,"July","12042",False
2024,"January","11874",False
2024,"February","11725",False
2024,"December","10623",False
2024,"August","12807",False
2024,"April","11024",False
2023,"September","18956",True
2023,"October","12450",True
2023,"November","15286",True
2023,"June","8845",False
2023,"July","11014",False
2023,"December","14545",False
2023,"August","15837",False
